    2092    5635    5771    5965
    6097    6204    2023    5966
    6543    6691    1976   10743
    1882    6940    7077    7204
   11110    7439    7657    7658
    1834    7661    7770    7876
    7969    8075    1742    7991
   11403    1779    8136    8265
    1693    8497    8563    8675
   11521    8754    8838    8917
    1554    9018    9068    9121
    1599    9226   11666    9165
    1506    9315    9416   11710
    1416    9513    9558   11714
    9646    9678    1465    9622
    9679    1367   11826    9645
    9584    1321    9520    1322
    9447    9495    9390    9344
    9292    1286    9367    9295
    9155   11625    1181    9069
    1088    8854    8793    8739
    1152    8620    8556    8483
    8289    1039    8363    8472
    8004   11387    8084    8206
    1017    7779    7691   11258
     900    7453    7358    7261
     853    7097    6994   10929
   10826   10825    6714   10901
    6301    6473     838   10766
    5743     711    5859    6043
     621    5390    5263    5095
    4844   10284   10202     703
    4232     574    4288   10338
    3486    3407     528    3731
    3188    3654     436    2989
    2828    3686     140    2701
    2701     140    3713    2829
    2830    2435    2434    2829
    2617      64    2431    2826
    3108    2617    2826     436
    2989    2825    2618     527
    2990    2694    2822     706
    2621     617    2991    2821
     617    3061    3142    9905
    3970    3525    3627    4174
    4475    4218    4290   10225
   10438    5038   10538    4716
    5392    5550    5264     895
    5860    5784    6004     897
    6225    6443    6302   10750
    6644    6844    6715     944
    7098    7027    7215    1036
    7454    7391    7565    1155
    7882    7780    1084    7718
    8179    7883    1291    8086
    8364    8316    8450    1289
    8621    8574    8701    1226
    8812    8926    8855    1317
   11679    9070    9103    1363
    9260    9232    9324   11782
    9194    9183    1603   11693
    8997    8911    1551    9104
    8688    1644   11471    8702
    8435   11344   11424    8451
    8164    1782    8180    8025
    1830    7980    7758    7646
    7380    7641    7546    1918
    7216    7196    1916    7383
    6961    6710    6835    1879
    1972    6436    6555    6703
   10739    6123    2019    6145
    5544    5669    2096    5697
    5162   10536    2065    5031
    4590    4469    4283   10124
    3838    4004    3603   10050
    2994    2298    9880    3225
    2298    2622    2850    9863
    2849    2457    2456    2848
    2619    2849    2299    3090
    2847    2455    2454    2846
    2620    2847    2992    2300
    2846    2667    2993    2301
    3143    2993    2302    3326
    2301    2993    3143    3325
    3194    2992    2301    3325
    2210    3861    3813    3562
    4212    3813    3861    2225
    2621      61    2425    2820
     617    2621    2820    3061
    3144    3371    3060     844
    3756     753   10133    3862
    4476     754    4475   10225
   10431    5039   10516    4846
    5392    5301    5551     896
    5862    6005    5785     942
    6226    6444    6303     943
    6716    6645    6845    1035
    7099    7028    7217    1156
    7392    7566    7455    1083
    7781    7719    7883    1177
    8086    8030    8181    1290
    8365    8317    8452    1225
    8575    8703    8622    1316
    8813    8927   11629    8856
    9136    9071    9035    9072
    9233    9325    9261    1411
    9326    9297    1502   11767
    9127    9183    9194    1604
    8966    8901    8798    8900
    1643    8704    8684    8702
    8508    8507    1689    8600
    8024    8243    8163    1736
    7863    1738    7884    7713
   11142    1876    7193   11167
    6846    6837   10948    7022
    6436    6570    6401    2018
    6145    6297    2018    6132
    5540    5544    5697    5777
    5209    2064    5176   10360
    4431    4469    4655    4741
    4094    3794    3839   10051
    2297    3239    3224    2995
    2622    2298    2994    2851
    2458    2850    2622      78
    2623      60    2424    2819
     144    2623    2819    3060
     844    3033    3145    3370
    3393    3460   10064     752
    4351    4477    4323   10230
    4897    4937    5040     895
    5303   10669    5393    1023
    6006    5862    5786    5863
    6445    6304    6227    6305
    6717    6646    6847    1157
    7029    7218    7100    1082
    7456    7393    7567    1176
    7782    7720    7885    1291
    8087    8031    8182    1224
    8318    8453    8366    1315
    8623    8576    8705    1362
